id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat,satuan,tahun
104,32,JAWA BARAT,3275,KOTA BEKASI,42917,KELUARGA PENERIMA MANFAAT,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,31854,KELUARGA PENERIMA MANFAAT,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,9371,KELUARGA PENERIMA MANFAAT,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,37256,KELUARGA PENERIMA MANFAAT,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,4299,KELUARGA PENERIMA MANFAAT,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,137875,KELUARGA PENERIMA MANFAAT,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,118144,KELUARGA PENERIMA MANFAAT,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13377,KELUARGA PENERIMA MANFAAT,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,134691,KELUARGA PENERIMA MANFAAT,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,14593,KELUARGA PENERIMA MANFAAT,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10216,KELUARGA PENERIMA MANFAAT,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4623,KELUARGA PENERIMA MANFAAT,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,44521,KELUARGA PENERIMA MANFAAT,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,94019,KELUARGA PENERIMA MANFAAT,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64829,KELUARGA PENERIMA MANFAAT,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,46657,KELUARGA PENERIMA MANFAAT,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,76187,KELUARGA PENERIMA MANFAAT,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,59217,KELUARGA PENERIMA MANFAAT,2021
